"","word1","hit1","hit1_n","hit2","hit2_n","hit3","hit3_n","ngram_n"
"188","looking","for",2406,"forward",2179,"at",983,8375
"189","forward","to",3061,"and",84,"in",59,3980
"190","getting","ready",700,"a",665,"the",388,8631
"191","papers","and",80,"are",37,"from",33,591
"192","discount","on",41,"code",21,"for",15,284
"193","cards","and",120,"for",77,"are",48,1231
"194","bring","the",277,"it",264,"a",209,3518
"195","hollywood","and",17,"movie",12,"studios",12,482
"196","u","have",403,"know",356,"can",348,14373
"197","would","be",6112,"have",2689,"like",1223,27678
"198","perform","at",42,"the",36,"on",29,500
"199","any","of",1109,"other",703,"more",371,13753
"200","sunday","morning",140,"night",136,"and",85,2473
"201","la","la",113,"and",42,"jolla",37,1956
"202","roseanne","barr",3,"roseannadanna",2,"was",2,17
"203","sandra","bullock",12,"fluke",8,"and",6,78
"204","b","c",336,"day",158,"a",80,2842
"205","m","m",57,"i",34,"a",32,1371
"206","cho","and",3,"was",2,"3",1,22
"207","etc","etc",89,"i",83,"and",80,1417
"208","have","a",12019,"to",9431,"been",6253,79272
"209","will","be",10950,"have",1516,"not",1254,42569
"210","leah","is",4,"and",3,"i",2,47
"211","lang","syne",3,"and",2,"lasalle",2,47
"212","sharing","the",121,"your",75,"a",74,1184
"213","educause's","data",1,"marc12",1,NA,NA,2
"214","data","and",58,"is",48,"from",38,1200
"215","research","and",148,"on",78,"for",43,1502
"216","analytics","for",5,"to",4,"and",3,88
"217","dra","efforts",1,"lots",1,NA,NA,2
"218","temple","run",34,"of",30,"in",17,304
"219","financial","crisis",40,"aid",28,"services",27,812
"220","aid","of",33,"to",28,"and",24,402
"221","hoodest","office",1,NA,NA,NA,NA,1
"222","office","and",182,"of",94,"in",90,2426
"223","i've","been",1924,"never",497,"got",490,8285
"224","seen","the",366,"in",267,"it",249,3929
"225","got","a",2432,"to",1599,"the",1071,17806
"226","more","than",4005,"of",910,"about",669,31308
"227","attitude","is",45,"and",43,"of",33,561
"228","than","the",1605,"a",1261,"i",860,17474
"229","student","loans",37,"and",32,"loan",31,1263
"230","rip","off",34,"whitney",31,"to",27,640
"231","seasons","of",29,"and",19,"in",18,330
"232","greetings","from",24,"and",10,"to",9,93
"233","h","m",48,"town",25,"e",17,589
"234","spending","time",129,"the",103,"a",64,1006
"235","portland","or",30,"and",25,"oregon",22,541
"236","private","sector",55,"and",30,"school",29,1008
"237","coaching","staff",14,"and",11,"career",6,232
"238","ready","to",2077,"for",1755,"and",80,4878
"239","or","the",1448,"a",1360,"not",1153,44379
"240","starting","to",727,"at",145,"a",144,2437
"241","off","the",2063,"to",1379,"and",487,13697
"242","hannah","montana",15,"and",10,"is",7,136
"243","montanna","hell",1,NA,NA,NA,NA,1
"244","hell","yeah",224,"is",147,"of",139,2404
"245","just","a",2541,"got",1616,"like",1023,51142
"246","chillin","with",26,"at",23,"in",21,188
"247","wit","me",103,"my",82,"a",53,954
"248","ask","for",474,"me",383,"you",180,3678
"249","copy","of",426,"and",49,"the",20,914
"250","assume","that",121,"they",28,"you",24,454
"251","cya","there",4,"soon",3,"in",2,17
"252","people","who",2033,"are",1197,"in",914,21840
"253","oh","my",703,"and",556,"i",480,8823
"254","snap","a",24,"peas",13,"the",9,281
"255","it's","a",2726,"not",1756,"the",1008,25937
"256","fav","song",10,"and",8,"part",8,351
"257","forget","to",504,"the",247,"about",225,2268
"258","today's","the",33,"btu",22,"post",21,940
"259","flavors","of",41,"and",29,"are",18,266
"260","chocolate","and",123,"chip",107,"cake",82,1698
"261","malt","and",39,"character",5,"in",5,203
"262","grasshopper","and",2,"about",1,"before",1,21
"263","100","of",67,"years",66,"percent",52,1934
"264","pgs","of",5,"in",2,"307",1,18
"265","proofed","but",1,"it",1,"little",1,5
"266","little","bit",774,"more",490,"girl",288,13087
"267","0ver","100",1,NA,NA,NA,NA,1
"268","left","the",392,"to",330,"in",274,5233
"269","spell","it",38,"check",23,"of",13,330
"270","check","out",2324,"it",700,"in",209,5722
"271","wiritng","done",1,NA,NA,NA,NA,1
"272","done","with",554,"and",261,"in",260,6218
"273","book","is",411,"and",376,"i",269,7649
"274","four","years",216,"of",89,"hours",80,2771
"275","night","and",557,"i",517,"at",446,10149
"276","lol","i",1009,"rt",231,"you",158,7206
"277","better","than",1537,"to",281,"and",228,9346
"278","way","to",3932,"of",854,"i",731,15997
"279","look","at",2303,"like",1173,"forward",784,10433
"280","cuz","i",256,"i'm",47,"u",38,1091
"281","some","of",3798,"people",826,"time",611,30643
"282","real","life",339,"estate",288,"world",189,5865
"283","slut","and",10,"i",4,"is",3,75
"284","stupid","and",80,"i",38,"people",37,1397
"285","ass","to",61,"ass",59,"off",59,2472
"286","bitches","get",20,"love",17,"i",16,422
"287","no","one",2125,"matter",1130,"longer",1058,29955
"288","trying","to",4507,"not",72,"out",70,5343
"289","live","in",1260,"on",272,"with",256,6397
"290","watching","the",997,"a",253,"it",147,4915
"291","grimm","and",4,"brothers",3,"is",2,40
"292","viggle","get",12,"mon",5,"wed",5,32
"293","fri","sat",19,"night",13,"sun",11,236
"294","20","minutes",278,"years",239,"off",76,2943
"295","nbc","sports",19,"news",14,"6",6,229
"296","rewards","just",32,"of",11,"and",9,153
"297","equal","to",51,"rights",29,"parts",17,413
"298","god","is",569,"and",352,"bless",337,7330
"299","see's","the",4,"nothing",2,"treat",2,16
"300","depths","of",61,"and",6,"that",3,85
"301","our","new",674,"own",668,"lives",574,30287
"302","hearts","and",87,"of",53,"are",21,594
"303","yet","to",352,"i",347,"but",298,5203
"304","loves","you",163,"to",130,"me",113,1513
"305","us","to",1337,"and",779,"a",546,18434
"306","same","time",860,"thing",573,"way",359,8428
"307","thank","you",7711,"god",433,"u",365,9401
"308","4","the",275,"cup",149,"hours",147,8361
"309","being","a",1257,"the",496,"in",390,12724
"310","faithful","to",39,"and",21,"in",14,251
"311","we're","going",243,"not",183,"all",167,4544
"312","great","day",946,"to",786,"time",640,21031
"313","time","to",4292,"i",2301,"for",1740,30897
"314","vawine","expo",2,"did",1,"look",1,4
"315","catching","up",251,"the",32,"a",20,483
"316","whats","up",170,"the",94,"good",74,702
"317","bud","light",36,"and",9,"but",5,200
"318","goodnight","everyone",41,"twitter",37,"all",17,456
"319","idk","what",84,"if",68,"why",62,622
"320","name","of",484,"is",474,"and",223,4658
"321","maroon","5",24,"and",4,"bells",3,46
"322","5","minutes",318,"30",188,"years",185,6641
"323","wednesdays","are",10,"at",5,"and",3,56
"324","tough","to",96,"but",39,"one",36,1035
"325","game","of",344,"is",305,"and",256,7329
"326","tougher","to",6,"than",5,"for",4,58
"327","thanks","for",8825,"to",1870,"so",702,17790
"328","those","who",1770,"of",586,"are",339,11862
"329","boston","and",24,"celtics",19,"for",18,783
"330","fans","are",128,"of",112,"and",105,2130
"331","turned","out",477,"into",242,"to",157,2099
"332","met","with",129,"a",124,"you",103,1919
